Start Time	End Time	Active Appliances
2013-02-27 21:30:00	2013-02-27 22:00:00	{2}
2013-03-01 21:30:00	2013-03-01 22:00:00	{2, 5}
2013-03-01 22:00:00	2013-03-01 22:30:00	{2, 5}
2013-03-02 12:30:00	2013-03-02 13:00:00	{2}
2013-03-08 20:30:00	2013-03-08 21:00:00	{2}
2013-03-08 21:00:00	2013-03-08 21:30:00	{2, 5}
2013-03-08 23:00:00	2013-03-08 23:30:00	{2, 5}
2013-03-09 14:00:00	2013-03-09 14:30:00	{2, 5}
2013-03-11 17:00:00	2013-03-11 17:30:00	{2, 4}
2013-03-11 19:00:00	2013-03-11 19:30:00	{2, 4}
2013-03-11 19:30:00	2013-03-11 20:00:00	{2, 4}
2013-03-11 20:00:00	2013-03-11 20:30:00	{2, 4}
2013-03-11 23:30:00	2013-03-11 00:00:00	{2, 3, 4}
2013-03-13 10:30:00	2013-03-13 11:00:00	{2, 4}
2013-03-13 23:00:00	2013-03-13 23:30:00	{2, 3, 5}
2013-03-16 11:30:00	2013-03-16 12:00:00	{2}
2013-03-17 20:30:00	2013-03-17 21:00:00	{2, 5}
2013-03-18 21:30:00	2013-03-18 22:00:00	{2, 5}
2013-03-18 22:00:00	2013-03-18 22:30:00	{2, 5}
2013-03-19 20:00:00	2013-03-19 20:30:00	{2}
2013-03-19 20:30:00	2013-03-19 21:00:00	{2}
2013-03-19 21:00:00	2013-03-19 21:30:00	{2}
2013-03-19 22:30:00	2013-03-19 23:00:00	{2}
2013-03-23 00:00:00	2013-03-23 00:30:00	{2}
2013-03-24 18:30:00	2013-03-24 19:00:00	{2, 4}
2013-03-25 08:30:00	2013-03-25 09:00:00	{2}
2013-03-25 10:30:00	2013-03-25 11:00:00	{2, 4}
2013-03-25 12:30:00	2013-03-25 13:00:00	{2}
2013-03-25 15:30:00	2013-03-25 16:00:00	{2}
2013-03-25 20:00:00	2013-03-25 20:30:00	{2, 4}
2013-03-26 19:00:00	2013-03-26 19:30:00	{2}
2013-03-26 20:00:00	2013-03-26 20:30:00	{2}
2013-03-27 12:00:00	2013-03-27 12:30:00	{2}
2013-03-28 00:30:00	2013-03-28 01:00:00	{2}
2013-03-28 10:00:00	2013-03-28 10:30:00	{2}
2013-03-29 07:30:00	2013-03-29 08:00:00	{2}
2013-03-29 11:00:00	2013-03-29 11:30:00	{2}
2013-04-02 10:30:00	2013-04-02 11:00:00	{2}
2013-04-02 18:00:00	2013-04-02 18:30:00	{2, 4}
2013-04-02 19:30:00	2013-04-02 20:00:00	{2}
2013-04-02 21:30:00	2013-04-02 22:00:00	{2}
2013-04-02 23:30:00	2013-04-02 00:00:00	{2, 4}
2013-04-03 09:30:00	2013-04-03 10:00:00	{2, 4}
